"Transfer ID","TitleID","Title","Transfer Type","Relevant Task","Donor Surface","Surface Type","Donor Surface Contamination","Surface Loading Cat","SurfLoadBIo","SurfLoadSolLiq","Contamination  Units","Time Since Application","TimeSinceAppCat","TimeSinceAppBIO","TimeSinceAppLiq","Receiver","Contact Surface Area","Applied Contact Pressure","Type of Contact","Duration of Contact","Number of Contacts","Number of contacts Cat","Moistness of hand","MoistCat","Efficiency type","Substance ID","Number of Observations","Transfer Efficiency","Range of Efficiencies","Standard Deviation","Transfer Efficiency Source","Notes"
438,23,"Determination of the factors influencing transfer of chemicals from the work environment to the skin and hence from hands to the peri-oral area",2,NA,"Tool","Smooth",NA,NA,NA,NA,NA,0,NA,NA,NA,"Hand",48,NA,3,5,2,"2 - 6",NA,NA,2,48,6,3.4,NA,NA,1,NA
439,23,"Determination of the factors influencing transfer of chemicals from the work environment to the skin and hence from hands to the peri-oral area",2,NA,"Tool","Smooth",NA,NA,NA,NA,NA,0,NA,NA,NA,"Hand",48,NA,3,5,3,"2 - 6",NA,NA,2,48,6,7.3,NA,NA,1,NA
440,23,"Determination of the factors influencing transfer of chemicals from the work environment to the skin and hence from hands to the peri-oral area",2,NA,"Tool","Smooth",NA,NA,NA,NA,NA,0,"0 - 3 hours",NA,"0 - 3 hours","Hand",48,NA,3,5,1,"1",NA,NA,2,49,6,4.5,NA,NA,1,NA
441,23,"Determination of the factors influencing transfer of chemicals from the work environment to the skin and hence from hands to the peri-oral area",2,NA,"Tool","Smooth",NA,NA,NA,NA,NA,0,"0 - 3 hours",NA,"0 - 3 hours","Hand",48,NA,3,5,2,"2 - 6",NA,NA,2,49,6,8.1,NA,NA,1,NA
442,23,"Determination of the factors influencing transfer of chemicals from the work environment to the skin and hence from hands to the peri-oral area",2,NA,"Tool","Smooth",NA,NA,NA,NA,NA,0,"0 - 3 hours",NA,"0 - 3 hours","Hand",48,NA,3,5,3,"2 - 6",NA,NA,2,49,6,11,NA,NA,1,NA
443,23,"Determination of the factors influencing transfer of chemicals from the work environment to the skin and hence from hands to the peri-oral area",5,NA,"Hand","Skin",0.295,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",0,NA,NA,NA,"Perioral",48,NA,1,5,1,"1",NA,NA,2,48,4,8.2,NA,NA,1,NA
444,23,"Determination of the factors influencing transfer of chemicals from the work environment to the skin and hence from hands to the peri-oral area",5,NA,"Hand","Skin",0.019,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",0,"0 - 3 hours",NA,"0 - 3 hours","Perioral",48,NA,1,5,1,"1",NA,NA,2,49,5,2,NA,NA,1,NA
445,24,"Decontamination of agricultural sprayers",3,"Pesticide Spraying","Spray Tank","Smooth",NA,NA,NA,NA,NA,1440,">12 hours",NA,">12 hours","Cotton Glove",NA,NA,2,180,1,"1","Dry","Dry",1,50,12,79,NA,NA,1,"wiped entire spray tank with cotton gloved hand for 3 minutes"
446,24,"Decontamination of agricultural sprayers",3,"Pesticide Spraying","Spray Tank","Smooth",NA,NA,NA,NA,NA,1440,">12 hours",NA,">12 hours","Cotton Glove",NA,NA,2,180,1,"1","Dry","Dry",1,51,12,58,NA,NA,1,"wiped entire spray tank with cotton gloved hand for 3 minutes"
447,24,"Decontamination of agricultural sprayers",3,"Pesticide Spraying","Spray Tank","Smooth",NA,NA,NA,NA,NA,1440,">12 hours",NA,">12 hours","Cotton Glove",NA,NA,2,180,1,"1","Dry","Dry",1,52,12,21,NA,NA,1,"wiped entire spray tank with cotton gloved hand for 3 minutes"
448,24,"Decontamination of agricultural sprayers",3,"Pesticide Spraying","Spray Tank","Smooth",NA,NA,NA,NA,NA,1440,">12 hours",NA,">12 hours","Cotton Glove",NA,NA,2,180,1,"1","Dry","Dry",1,53,12,65,NA,NA,1,"wiped entire spray tank with cotton gloved hand for 3 minutes"
449,24,"Decontamination of agricultural sprayers",3,"Pesticide Spraying","Spray Tank","Smooth",NA,NA,NA,NA,NA,1440,">12 hours",NA,">12 hours","Cotton Glove",NA,NA,2,180,1,"1","Dry","Dry",1,54,12,25,NA,NA,1,"wiped entire spray tank with cotton gloved hand for 3 minutes"
450,24,"Decontamination of agricultural sprayers",3,"Pesticide Spraying","Spray Tank","Smooth",NA,NA,NA,NA,NA,1440,">12 hours",NA,">12 hours","Cotton Glove",NA,NA,2,180,1,"1","Dry","Dry",1,55,12,39,NA,NA,1,"wiped entire spray tank with cotton gloved hand for 3 minutes"
451,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",16.5,"<29","<29 CFU/cm2",NA,"CFU/cm2",60,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,8,1,70,NA,NA,2,NA
452,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",16.5,"<29","<29 CFU/cm2",NA,"CFU/cm2",180,">60",">60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,8,1,25,NA,NA,2,NA
453,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",16.5,"<29","<29 CFU/cm2",NA,"CFU/cm2",1440,">60",">60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,8,1,1,NA,NA,2,NA
454,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",10,"<29","<29 CFU/cm2",NA,"CFU/cm2",60,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,8,1,103,NA,NA,2,NA
455,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",10,"<29","<29 CFU/cm2",NA,"CFU/cm2",180,">60",">60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,8,1,133,NA,NA,2,NA
456,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",10,"<29","<29 CFU/cm2",NA,"CFU/cm2",1440,">60",">60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,8,1,8,NA,NA,2,NA
457,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",13.5,"<29","<29 CFU/cm2",NA,"CFU/cm2",60,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,9,1,68,NA,NA,2,NA
458,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",13.5,"<29","<29 CFU/cm2",NA,"CFU/cm2",1440,">60",">60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,9,1,0,NA,NA,2,NA
459,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",28,"<29","<29 CFU/cm2",NA,"CFU/cm2",60,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,9,1,46,NA,NA,2,NA
460,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",28,"<29","<29 CFU/cm2",NA,"CFU/cm2",180,">60",">60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,9,1,7,NA,NA,2,NA
461,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",28,"<29","<29 CFU/cm2",NA,"CFU/cm2",1440,">60",">60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,9,1,4,NA,NA,2,NA
462,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",10.5,"<29","<29 CFU/cm2",NA,"CFU/cm2",60,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,10,1,157,NA,NA,2,NA
463,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",10.5,"<29","<29 CFU/cm2",NA,"CFU/cm2",180,">60",">60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,10,1,73,NA,NA,2,NA
464,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",10.5,"<29","<29 CFU/cm2",NA,"CFU/cm2",1440,">60",">60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,10,1,29,NA,NA,2,NA
465,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",10.5,"<29","<29 CFU/cm2",NA,"CFU/cm2",60,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,10,1,135,NA,NA,2,NA
466,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",10.5,"<29","<29 CFU/cm2",NA,"CFU/cm2",180,">60",">60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,10,1,130,NA,NA,2,NA
467,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"None","Laminate","Smooth",10.5,"<29","<29 CFU/cm2",NA,"CFU/cm2",1440,">60",">60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,10,1,32,NA,NA,2,NA
468,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"Wiping with cloth","J Cloth","Textile",39.04,"29 - 440","29 - 440 CFU/cm2",NA,"CFU/cm2",60,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,8,1,2.1,NA,NA,2,"transfer efficiency after 24 hours was >100% due to proliferation of organism"
469,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"Wiping with cloth","J Cloth","Textile",39.04,"29 - 440","29 - 440 CFU/cm2",NA,"CFU/cm2",240,">60",">60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,8,1,1.7,NA,NA,2,"transfer efficiency after 24 hours was >100% due to proliferation of organism"
470,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"Wiping with cloth","J Cloth","Textile",39.04,"29 - 440","29 - 440 CFU/cm2",NA,"CFU/cm2",60,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,8,1,3,NA,NA,2,"transfer efficiency after 24 hours was >100% due to proliferation of organism"
471,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"Wiping with cloth","J Cloth","Textile",39.04,"29 - 440","29 - 440 CFU/cm2",NA,"CFU/cm2",240,">60",">60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,8,1,1.3,NA,NA,2,"transfer efficiency after 24 hours was >100% due to proliferation of organism"
472,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"Wiping with cloth","J Cloth","Textile",28.56,"<29","<29 CFU/cm2",NA,"CFU/cm2",60,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,11,1,35,NA,NA,2,"transfer efficiency after 24 hours was >100% due to proliferation of organism"
473,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"Wiping with cloth","J Cloth","Textile",28.56,"<29","<29 CFU/cm2",NA,"CFU/cm2",240,">60",">60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,11,1,23.9,NA,NA,2,"transfer efficiency after 24 hours was >100% due to proliferation of organism"
474,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"Wiping with cloth","J Cloth","Textile",28.56,"<29","<29 CFU/cm2",NA,"CFU/cm2",60,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,11,1,19.8,NA,NA,2,"transfer efficiency after 24 hours was >100% due to proliferation of organism"
475,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"Wiping with cloth","J Cloth","Textile",28.56,"<29","<29 CFU/cm2",NA,"CFU/cm2",240,">60",">60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,11,1,14,NA,NA,2,"transfer efficiency after 24 hours was >100% due to proliferation of organism"
476,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"Wiping with cloth","J Cloth","Textile",119.04,"29 - 440","29 - 440 CFU/cm2",NA,"CFU/cm2",60,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,10,1,10.8,NA,NA,2,"transfer efficiency after 24 hours was >100% due to proliferation of organism"
477,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"Wiping with cloth","J Cloth","Textile",119.04,"29 - 440","29 - 440 CFU/cm2",NA,"CFU/cm2",240,">60",">60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,10,1,12.7,NA,NA,2,"transfer efficiency after 24 hours was >100% due to proliferation of organism"
478,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"Wiping with cloth","J Cloth","Textile",119.04,"29 - 440","29 - 440 CFU/cm2",NA,"CFU/cm2",60,"0 - 60","0 - 60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,10,1,21.4,NA,NA,2,"transfer efficiency after 24 hours was >100% due to proliferation of organism"
479,18,"The survival and transfer of microbial contamination via cloths, hands and utensils",2,"Wiping with cloth","J Cloth","Textile",119.04,"29 - 440","29 - 440 CFU/cm2",NA,"CFU/cm2",240,">60",">60 minutes",NA,"Finger",6,NA,1,30,1,"1","Dry","Dry",1,10,1,8,NA,NA,2,"transfer efficiency after 24 hours was >100% due to proliferation of organism"
515,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",3,"Jazzercise","Carpet","Carpet",0.00223,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",360,"3 - 12 hours",NA,"3 - 12 hours","Cotton Glove",1310,NA,4,1200,NA,NA,NA,NA,1,12,5,16.9,NA,11,1,NA
516,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",3,"Jazzercise","Carpet","Carpet",0.00023,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",360,"3 - 12 hours",NA,"3 - 12 hours","Cotton Glove",1310,NA,4,1200,NA,NA,NA,NA,1,13,5,17.9,NA,9.1,1,NA
517,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",3,"Jazzercise","Carpet","Carpet",0.00223,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",750,">12 hours",NA,">12 hours","Cotton Glove",1310,NA,4,1200,NA,NA,NA,NA,1,12,5,8.1,NA,1.9,1,NA
518,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",3,"Jazzercise","Carpet","Carpet",0.00023,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",750,">12 hours",NA,">12 hours","Cotton Glove",1310,NA,4,1200,NA,NA,NA,NA,1,13,5,8.3,NA,2.7,1,NA
519,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",4,"Jazzercise","Carpet","Carpet",0.00223,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",360,"3 - 12 hours",NA,"3 - 12 hours","Cotton Shirt",7440,NA,4,1200,NA,NA,NA,NA,1,12,5,6.3,NA,5.8,1,NA
520,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",4,"Jazzercise","Carpet","Carpet",0.00023,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",360,"3 - 12 hours",NA,"3 - 12 hours","Cotton Shirt",7440,NA,4,1200,NA,NA,NA,NA,1,13,5,4.8,NA,2.5,1,NA
521,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",4,"Jazzercise","Carpet","Carpet",0.00223,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",750,">12 hours",NA,">12 hours","Cotton Shirt",7440,NA,4,1200,NA,NA,NA,NA,1,12,5,3.1,NA,0.5,1,NA
522,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",4,"Jazzercise","Carpet","Carpet",0.00023,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",750,">12 hours",NA,">12 hours","Cotton Shirt",7440,NA,4,1200,NA,NA,NA,NA,1,13,5,2.8,NA,0.5,1,NA
523,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",4,"Jazzercise","Carpet","Carpet",0.00223,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",360,"3 - 12 hours",NA,"3 - 12 hours","Socks",1220,NA,4,1200,NA,NA,NA,NA,1,12,5,33.3,NA,12.9,1,NA
524,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",4,"Jazzercise","Carpet","Carpet",0.00023,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",360,"3 - 12 hours",NA,"3 - 12 hours","Socks",1220,NA,4,1200,NA,NA,NA,NA,1,13,5,27.1,NA,8.8,1,NA
525,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",4,"Jazzercise","Carpet","Carpet",0.00223,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",750,">12 hours",NA,">12 hours","Socks",1220,NA,4,1200,NA,NA,NA,NA,1,12,5,20.3,NA,3.5,1,NA
526,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",4,"Jazzercise","Carpet","Carpet",0.00023,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",750,">12 hours",NA,">12 hours","Socks",1220,NA,4,1200,NA,NA,NA,NA,1,13,5,13.7,NA,4.7,1,NA
527,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",4,"Jazzercise","Carpet","Carpet",0.00223,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",360,"3 - 12 hours",NA,"3 - 12 hours","Tights",7220,NA,4,1200,NA,NA,NA,NA,1,12,5,7.5,NA,4.6,1,NA
528,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",4,"Jazzercise","Carpet","Carpet",0.00023,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",360,"3 - 12 hours",NA,"3 - 12 hours","Tights",7220,NA,4,1200,NA,NA,NA,NA,1,13,5,5.3,NA,2,1,NA
529,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",4,"Jazzercise","Carpet","Carpet",0.00223,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",750,">12 hours",NA,">12 hours","Tights",7220,NA,4,1200,NA,NA,NA,NA,1,12,5,4,NA,1.3,1,NA
530,14,"Measuring Potential Dermal Transfer of Surface Pesticide Residue Generated from Indoor Use: An Interim Report",4,"Jazzercise","Carpet","Carpet",0.00023,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",750,">12 hours",NA,">12 hours","Tights",7220,NA,4,1200,NA,NA,NA,NA,1,13,5,3,NA,0.8,1,NA
543,22,"Inadvertent Ingestion Exposure to Hazardous Substances in the Workplace",2,NA,"various",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hand",0,NA,1,NA,NA,NA,"Dry","Dry",1,47,59,12,NA,NA,1,"Surface concentration, skin moisture, and number of contacts varied"
548,25,"Soil-skin adherence from carpet: Use of a mechanical chamber to control contact parameters",2,NA,"Carpet","Carpet",305.4,">1 mg/cm2",NA,">1 mg/cm2","mg/cm2",NA,NA,NA,NA,"skin",8.97,0,1,0,1,"1",NA,NA,1,15,0,0.24,NA,0,2,"contact was between carpet and human cadaver skin"
549,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.001777,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Dry","Dry",1,57,1,0.038,NA,NA,1,"Assumes entire surface area of palm exposed."
550,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.001777,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Wet","Wet",1,57,1,0.03,NA,NA,1,"Assumes entire surface area of palm exposed."
551,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.001777,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Wet","Wet",1,57,1,0.06,NA,NA,1,"Assumes entire surface area of palm exposed."
553,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.001777,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Dry","Dry",1,56,1,0.038,NA,NA,1,"Assumes entire surface area of palm exposed."
554,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.001777,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Wet","Wet",1,56,1,0.03,NA,NA,1,"Assumes entire surface area of palm exposed."
555,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.001777,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Wet","Wet",1,56,1,0.06,NA,NA,1,"Assumes entire surface area of palm exposed."
557,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.001969,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Dry","Dry",1,57,1,0.071,NA,NA,1,"Assumes entire surface area of palm exposed."
558,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.001969,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Wet","Wet",1,57,1,0.229,NA,NA,1,"Assumes entire surface area of palm exposed."
559,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.001969,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Wet","Wet",1,57,1,0.329,NA,NA,1,"Assumes entire surface area of palm exposed."
560,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.002707,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Dry","Dry",1,57,1,0.08,NA,NA,1,"Assumes entire surface area of palm exposed."
561,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.002707,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Wet","Wet",1,57,1,0.133,NA,NA,1,"Assumes entire surface area of palm exposed."
562,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.002707,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Wet","Wet",1,57,1,0.332,NA,NA,1,"Assumes entire surface area of palm exposed."
563,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.002366,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Dry","Dry",1,57,1,0.048,NA,NA,1,"Assumes entire surface area of palm exposed."
564,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.002366,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Wet","Wet",1,57,1,0.118,NA,NA,1,"Assumes entire surface area of palm exposed."
565,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.002366,"0.002 - 1 mg/cm2",NA,"0.002 - 1 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Wet","Wet",1,57,1,0.026,NA,NA,1,"Assumes entire surface area of palm exposed."
566,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.001609,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Dry","Dry",1,57,1,0.017,NA,NA,1,"Assumes entire surface area of palm exposed."
567,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.001609,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Wet","Wet",1,57,1,0.17,NA,NA,1,"Assumes entire surface area of palm exposed."
568,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.001609,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Wet","Wet",1,57,1,0.082,NA,NA,1,"Assumes entire surface area of palm exposed."
569,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.001618,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Dry","Dry",1,57,1,0.022,NA,NA,1,"Assumes entire surface area of palm exposed."
570,26,"Dermal Transfer Efficiency of Pesticides from Turf Grass to Dry and Wetted Palms",2,NA,"Grass","Grass",0.001618,"0.0002 - 0.002 mg/cm2",NA,"0.0002 - 0.002 mg/cm2","mg/cm2",1440,">12 hours",NA,">12 hours","Hand",79,1,1,1,1,"1","Wet","Wet",1,57,1,0.011,NA,NA,1,"Assumes entire surface area of palm exposed."
